Id_censo,Indicadores de renta media,Primera fecha: Total
2807901110,Renta bruta media por persona,19.314
2807901110,Renta neta media por hogar,32.136
2807901110,Renta neta media por persona,15.620
2807901111,Media de la renta por unidad de consumo,25.124
2807901111,Mediana de la renta por unidad de consumo,22.050
2807901111,Renta bruta media por hogar,46.402
2807901111,Renta bruta media por persona,23.331
2807901111,Renta neta media por hogar,34.057
2807901111,Renta neta media por persona,17.124
2807901112,Media de la renta por unidad de consumo,22.925
2807901112,Mediana de la renta por unidad de consumo,18.550
2807901112,Renta bruta media por hogar,43.998
2807901112,Renta bruta media por persona,21.955
2807901112,Renta neta media por hogar,34.550
2807901112,Renta neta media por persona,17.241
2807901113,Media de la renta por unidad de consumo,20.470
2807901113,Mediana de la renta por unidad de consumo,15.050
2807901113,Renta bruta media por hogar,39.705
2807901113,Renta bruta media por persona,18.572
2807901113,Renta neta media por hogar,31.938
2807901113,Renta neta media por persona,14.939
2807901114,Media de la renta por unidad de consumo,22.314
2807901114,Mediana de la renta por unidad de consumo,17.850
2807901114,Renta bruta media por hogar,41.050
2807901114,Renta bruta media por persona,20.318
2807901114,Renta neta media por hogar,32.474
2807901114,Renta neta media por persona,16.073
2807901115,Media de la renta por unidad de consumo,23.649
2807901115,Mediana de la renta por unidad de consumo,19.250
2807901115,Renta bruta media por hogar,45.139
2807901115,Renta bruta media por persona,21.831
2807901115,Renta neta media por hogar,35.436
2807901115,Renta neta media por persona,17.138
2807901116,Media de la renta por unidad de consumo,22.688
2807901116,Mediana de la renta por unidad de consumo,15.750
2807901116,Renta bruta media por hogar,41.397
2807901116,Renta bruta media por persona,20.896
2807901116,Renta neta media por hogar,32.972
2807901116,Renta neta media por persona,16.643
2807901117,Media de la renta por unidad de consumo,22.875
2807901117,Mediana de la renta por unidad de consumo,19.250
2807901117,Renta bruta media por hogar,42.288
2807901117,Renta bruta media por persona,20.780
2807901117,Renta neta media por hogar,33.962
2807901117,Renta neta media por persona,16.688
2807901118,Media de la renta por unidad de consumo,21.458
2807901118,Mediana de la renta por unidad de consumo,17.150
2807901118,Renta bruta media por hogar,37.588
2807901118,Renta bruta media por persona,19.437
2807901118,Renta neta media por hogar,30.820
2807901118,Renta neta media por persona,15.937
2807901119,Media de la renta por unidad de consumo,22.873
2807901119,Mediana de la renta por unidad de consumo,15.750
2807901119,Renta bruta media por hogar,44.457
